Entity,GDP per capita (USD),Life satisfaction
Ecuador ,11896.375,5.976
Estonia,31038.805,5.517
Ethiopia,17790.841,4.508
Finland,45072.59,7.413
France,43345.785,6.478
Gabon,15510.039,4.121
Georgia,12605.14,4.252
Germany,51159.297,6.994
Ghana,47859.946,4.276
Greece,28260.387,5.033
Guatemala,8125.656,6.324
Guinea,2087.935,3.607
Haiti,3102.345,4.028
Honduras,5283.417,4.871
Hong Kong,57215.95,5.458
Hungary,27531.645,5.145
Iceland,52142.934,7.501
India,5464.394,4.404
Indonesia,10149.604,5.314
Iran,12698.109,4.813
Iraq,9946.977,4.575
Ireland,71508.734,6.907
Israel,37306.133,7.267
Italy,40247.83,5.977
Jamaica,9473.106,5.51
Japan,40402.582,5.921
Jordan,10145.837,5.303
Kazakhstan,24290.418,5.919
Kenya,4075.502,4.356
Pakistan,42783.467,5.132
Panama,28430.984,6.701
Paraguay,11828.14,5.538
Peru,12110.267,5.743
Philippines,7300.136,5.279
Poland,27797.059,5.835
Portugal,31118.791,5.123
Puerto Rico,34311.04,7.039
Qatar,95965.25,6.375
Ukraine,11216.118,4.324
United Arab Emirates,65267.414,6.573
